"codi";"nom";"valor"
"271";"Vilassar de Mar";120
"272";"Badalona - 01";34
"273";"Badalona - 02";410
"274";"Badalona - 03";440
"275";"Badalona - 04";452
"276";"Badalona - 05";478
"277";"Badalona - 06";419
"279";"Badalona - 08";252
"280";"Badalona - 09";413
"281";"Badalona - 10";351
"282";"Badalona - 11";126
"283";"Badalona - 12";171
"284";"Granollers - 1 Oest";282
"285";"Granollers - 2 Nord";103
"286";"Granollers - 3 Centre Est";25
"287";"Granollers - 4 Sud";264
"288";"L'Hospitalet de Llobregat - 01";106
"289";"L'Hospitalet de Llobregat - 02";321
"290";"L'Hospitalet de Llobregat - 03";268
"291";"L'Hospitalet de Llobregat - 04";412
"292";"L'Hospitalet de Llobregat - 05";143
"293";"L'Hospitalet de Llobregat - 06";359
"294";"L'Hospitalet de Llobregat - 07";178
"295";"L'Hospitalet de Llobregat - 08";31
"296";"L'Hospitalet de Llobregat - 09";479
"297";"L'Hospitalet de Llobregat - 10";165
"298";"L'Hospitalet de Llobregat - 11";299
"299";"L'Hospitalet de Llobregat - 12";162
"300";"La Llagosta";77
"303";"Reus - 1";178
"304";"Reus - 2";387
"305";"Reus - 3";225
"306";"Reus - 4";258
"307";"Reus - 5";179
"309";NA;194
"310";NA;450
"311";NA;328
"312";NA;200
"314";NA;207
"315";"Vall del Tenes";97
"316";NA;362
"317";NA;261
"319";"Montgat";262
"320";NA;459
"322";"Ciutat Badia";46
"324";NA;186
"325";"Pineda de Mar";13
"326";"Barcelona - 07G";436
"327";"Barcelona - 08I";57
"328";"L'Aldea - Camarles - l'Ampolla";255
"329";"Lleida rural - 2 Sud";194
"330";"Breda - Hostalric";279
"331";"Barcelona - 10J";417
"333";"Alt Camp Oest";184
"334";"Almacelles";229
"335";"Sant Andreu de Llavaneres";66
"336";"Tordera";88
"337";"Capellades";179
"338";"Piera";316
"339";"Salou";159
"340";"Vila-seca";11
"341";"Badalona - 07A";493
"342";"Badalona - 07B";115
"343";NA;129
"344";"Sabadell - 4A";41
"345";"Sabadell - 4B";425
"346";"Sant Joan les Fonts";320
"347";"La Vall d'en Bas";37
"348";NA;75
"349";NA;204
"350";"Vic - 1";383
"351";"Vic - 2";498
"352";"Tarragona - 7";361
"353";"Vilassar de Dalt";113
"354";"La Selva del Camp";419
"355";NA;266
"356";"Terrassa - G";207
"357";"Calafell";391
"358";"Barcelona - 06E";460
"359";"Cubelles - Cunit";226
"360";"Martorell rural";20
"361";"El Masnou - Alella";235
"362";NA;151
"363";NA;281
"364";"Tarragona - 8";106
"365";"Castelldefels - 1";143
"366";"Castelldefels - 2";306
"367";NA;133
"368";"Santa Coloma de Gramenet - 6";499
"369";"Corbera de Llobregat";172
"370";"Abrera";423
"371";"Igualada - 1";330
"372";"Igualada - 2";436
"373";"Begues";104
"374";NA;86
"375";NA;77
"376";"Alt Mogent";233
"377";"Roda de Ter";458
"378";NA;370
"379";"Lleida - 7";27
"380";NA;121
"381";"Montcada i Reixac - 1";158
"382";"Montcada i Reixac - 2";175
"383";"Barcelona - 03H";277
"384";"Cerdanyola - Ripollet";462
"385";"Barcelona - 08J";285
"386";"Ripollet - 1";63
"387";"Ripollet - 2";95
"388";NA;286
"389";NA;51
"390";NA;274
"391";NA;44
"392";NA;429
"393";"Ribes - Olivella";378
"394";"Roquetes - Canyelles";266
"395";"Barcelona - 09H";136
"396";"Barcelona - 09I";405
"397";NA;353
"398";NA;92
"399";"Castellbisbal";454
"400";"Barcelona - 03I";47
"401";"Viladecans - 3";203
"402";"Barcelona - 08K";411
"403";"Barcelona - 08L";263
